Name,StructType,Project_Id,ProjectLnk,Status,Appear_Dt,Appear_Src,Disapp_Dt,Disapp_Src,Editor,Edit_Dt,EditAction,Model_ID,Model_Cred,ModelBatch,Model_File,Model_Dt,Model_Note,Model_LOD,Survey_Dt,Survey_Src,Centr_Lat,Centr_Lon,Gnd_El_Ft,Z_Max_Ft,Z_MIn_Ft,Height_Ft,Tile_ID,Parcel_ID,Struct_ID,StructUse,GoogleLnk,NearMapLnk,Struct_Lnk,Parcel_Lnk,chgAction,chgStatus,chgStatDt,chgStatSrc,chgQAIssue,chgFlag,ChgEdBatch,RecInitUsr,RecInitDt,ChgFlagger,ChgFlagDt
248 Meridian Street,Building,1330,http://www.bostonplans.org/projects/development-projects/248-Meridian-Street,Current,20160926,Nearmap 9/26/2016,,,PBCOTE,20210804,Enrolled as New Model,BOS_BHLAV4S,BPDA Urban Design Technology Group,demo20210215,248_Meridian_Street.obj,20200911,,3,,Handmade from drawings,42.3761576308,-71.0394946517,13.12,90.9999488333,14.0001028333,77.8799488333,BOS_I_3,0105937000,,,"https://www.google.com/maps/search//@42.3741576313116,-71.0394946529066,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3761576313116,-71.0394946529066,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0105937000,,,,,,,,PBCOTE,20210809,,
Coppersmith Village Development,Building,1585,http://www.bostonplans.org/projects/development-projects/Coppersmith-Village-Development,Current,20191107,Art 80 Review Log,,,PBCOTE,20210804,Shift Lower per Bos3d_elevation North East per aerial,BOS_26SHQLU,BPDA Urban Design Technology Group,edits_20210527,Coppersmith-Village-Development-EB,20191025,,3,,Handmade from drawings,42.3724264435,-71.0412488802,6.56,89.9999508333,8.50011383335,83.4399508333,BOS_I_3,0105590100,,,"https://www.google.com/maps/search//@42.3704264093078,-71.0412488515203,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3724264093078,-71.0412488515203,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0105590100,,,,,,,,PBCOTE,20210809,,
,Dock,0,,Current,,Recorded in 2011 Infotech photogrammetry.,,,PBCOTE,20210804,Enrolled as new model,BOS_GSUUQ5J,pbcGIS,Walls_Docks_20210614,Walls_Docks_20210609.gdb,20210614,"Height established from DTM, Extruded to one foot.",1,20110401,Recorded in 2011 photogrammetry by Infotech.,42.364512566,-71.0490808329,0,2.00012683334,1.00012883334,2.00012683334,BOS_I_3,0303037000,,,"https://www.google.com/maps/search//@42.3625125666019,-71.0490808341028,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3645125666019,-71.0490808341028,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0303037000,,,,,,,,PBCOTE,20210809,,
,Dock,0,,Current,,Recorded in 2011 Infotech photogrammetry.,,,PBCOTE,20210804,Enrolled as new model,BOS_KOWAI0G,pbcGIS,Walls_Docks_20210614,Walls_Docks_20210609.gdb,20210614,"Height established from DTM, Extruded to one foot.",1,20110401,Recorded in 2011 photogrammetry by Infotech.,42.3647122138,-71.0387372858,0.237238247423,2.00078300001,1.00078500001,1.76354475259,BOS_I_3,0104446000,,,"https://www.google.com/maps/search//@42.3627122131294,-71.0387372852668,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3647122131294,-71.0387372852668,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0104446000,,,,,,,,PBCOTE,20210809,,
,Dock,0,,Current,,Recorded in 2011 Infotech photogrammetry.,,,PBCOTE,20210804,Enrolled as new model,BOS_6YYGQ4Z,pbcGIS,Walls_Docks_20210614,Walls_Docks_20210609.gdb,20210614,"Height established from DTM, Extruded to one foot.",1,20110401,Recorded in 2011 photogrammetry by Infotech.,42.3642865657,-71.0387498949,0,2.00012683334,1.00012883334,2.00012683334,BOS_I_3,0104446000,,,"https://www.google.com/maps/search//@42.3622865639598,-71.0387498971588,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3642865639598,-71.0387498971588,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0104446000,,,,,,,,PBCOTE,20210809,,
,Dock,0,,Current,,Recorded in 2011 Infotech photogrammetry.,,,PBCOTE,20210804,Enrolled as new model,BOS_GMY12LY,pbcGIS,Walls_Docks_20210614,Walls_Docks_20210609.gdb,20210614,"Height established from DTM, Extruded to one foot.",1,20110401,Recorded in 2011 photogrammetry by Infotech.,42.3650312892,-71.0501454686,0,2.00012683334,1.00012883334,2.00012683334,BOS_I_3,0303038200,,,"https://www.google.com/maps/search//@42.3630312908572,-71.0501454688746,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3650312908572,-71.0501454688746,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0303038200,,,,,,,,PBCOTE,20210809,,
,Dock,0,,Current,,Recorded in 2011 Infotech photogrammetry.,,,PBCOTE,20210804,Enrolled as new model,BOS_Z1Q0THM,pbcGIS,Walls_Docks_20210614,Walls_Docks_20210609.gdb,20210614,"Height established from DTM, Extruded to one foot.",1,20110401,Recorded in 2011 photogrammetry by Infotech.,42.3660118495,-71.0494671234,0,2.00012683334,1.00012883334,2.00012683334,BOS_I_3,0303040000,,,"https://www.google.com/maps/search//@42.364011849515094,-71.0494671253117,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3660118495151,-71.0494671253117,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0303040000,,,,,,,,PBCOTE,20210809,,
,Dock,0,,Current,,Recorded in 2011 Infotech photogrammetry.,,,PBCOTE,20210804,Enrolled as new model,BOS_BFH0QGS,pbcGIS,Walls_Docks_20210614,Walls_Docks_20210609.gdb,20210614,"Height established from DTM, Extruded to one foot.",1,20110401,Recorded in 2011 photogrammetry by Infotech.,42.3660897707,-71.0415963991,0,2.00012683334,1.00012883334,2.00012683334,BOS_I_3,0105395000,,,"https://www.google.com/maps/search//@42.364089771252395,-71.0415963992099,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3660897712524,-71.0415963992099,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0105395000,,,,,,,,PBCOTE,20210809,,
,Dock,0,,Current,,Recorded in 2011 Infotech photogrammetry.,,,PBCOTE,20210804,Enrolled as new model,BOS_PNKSN9D,pbcGIS,Walls_Docks_20210614,Walls_Docks_20210609.gdb,20210614,"Height established from DTM, Extruded to one foot.",1,20110401,Recorded in 2011 photogrammetry by Infotech.,42.3661123187,-71.04178875,0,2.00012683334,1.00012883334,2.00012683334,BOS_I_3,0105395000,,,"https://www.google.com/maps/search//@42.364112317512294,-71.0417887504255,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3661123175123,-71.0417887504255,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0105395000,,,,,,,,PBCOTE,20210809,,
,Dock,0,,Current,,Recorded in 2011 Infotech photogrammetry.,,,PBCOTE,20210804,Enrolled as new model,BOS_IVN6RXB,pbcGIS,Walls_Docks_20210614,Walls_Docks_20210609.gdb,20210614,"Height established from DTM, Extruded to one foot.",1,20110401,Recorded in 2011 photogrammetry by Infotech.,42.3663632787,-71.0493260986,0,2.00012683334,1.00012883334,2.00012683334,BOS_I_3,0303040000,,,"https://www.google.com/maps/search//@42.364363278806294,-71.0493260985795,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3663632788063,-71.0493260985795,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0303040000,,,,,,,,PBCOTE,20210809,,
